id,matchId,team,player,hero,pos,matchK,matchD,result,mvp,K,D,A,score,attack,pain
1,1,1队,Kids.嬴荡,武则天,中,30,17,win,no,2,5,16,7.3,16.2,11.4
2,1,1队,Kids.狂奔,伽罗,下,30,17,win,no,6,1,3,8.5,34.7,13.5
3,1,1队,Kids.剑来,赵云,野,30,17,win,yes,13,4,6,10.6,21.8,16.1
4,1,1队,Kids.战神,孙策,上,30,17,win,no,8,6,9,8.7,18.3,23.4
5,1,1队,Kids.Madcat,白起,辅,30,17,win,no,1,2,15,9.2,9.1,35.6
6,1,2队,Kids.小天,沈梦溪,中,17,30,lose,yes,9,2,5,10.3,46.7,9.8
7,1,2队,Kids.hu,裴擒虎,野,17,30,lose,no,4,6,4,5.9,15.8,13
8,1,2队,Kids.weiwei,夏侯惇,辅,17,30,lose,no,1,10,8,5.7,11.5,38.1
9,1,2队,Kids.元歌,后羿,下,17,30,lose,no,2,10,6,5.1,16.5,15.6
10,1,2队,Kids.流年,项羽,上,17,30,lose,no,1,2,1,3.3,9.5,23.6
11,2,1队,Kids.嬴荡,武则天,中,25,13,win,yes,2,1,18,12.4,25.9,11.5
12,2,1队,Kids.剑来,典韦,野,25,13,win,no,8,3,9,10.6,17.3,20
13,2,1队,Kids.烧酒,狄仁杰,下,25,13,win,no,10,1,6,11.5,27.5,12
14,2,1队,Kids.战神,孙策,上,25,13,win,no,4,3,11,10.5,19.9,23.1
15,2,1队,Kids.Madcat,白起,辅,25,13,win,no,1,5,13,7.3,9.4,33.4
16,2,3队,Kids.吴老吉,后羿,下,13,25,lose,yes,5,5,6,8.7,32.9,13.1
17,2,3队,Kids.724,达摩,野,13,25,lose,no,5,4,6,8.1,20.7,20
18,2,3队,Kids.斑爷,刘禅,辅,13,25,lose,no,1,7,6,6.3,10.7,28.2
19,2,3队,Kids.Linda,杨玉环,中,13,25,lose,no,2,3,4,5.7,18,11.2
20,2,3队,Kids.Uncle-F,夏侯惇,上,13,25,lose,no,0,6,5,5.4,17.7,27.5
21,3,1队,Kids.嬴荡,武则天,中,22,7,win,no,1,0,12,10.5,19.2,10.3
22,3,1队,Kids.狂奔,黄忠,下,22,7,win,no,7,0,6,10.6,28.9,11
23,3,1队,Kids.剑来,张飞,辅,22,7,win,no,3,1,10,11,7.9,30。4
24,3,1队,Kids.战神,娜可露露,野,22,7,win,yes,11,3,5,11.4,37.2,22.1
25,3,1队,Kids.Madcat,白起,上,22,7,win,no,0,3,7,5,6.8,26.3
26,3,3队,Kids.吴老吉,狄仁杰,下,7,22,lose,yes,0,2,6,7,26.9,9.1
27,3,3队,Go·Nunu,女娲,中,7,22,lose,no,2,2,3,5.9,29.2,12.4
28,3,3队,Kids.弦,牛魔,辅,7,22,lose,no,0,8,6,5.7,13.3,31
29,3,3队,Kids.Uncle-F,夏侯惇,上,7,22,lose,no,2,4,2,5.6,13.3,29
30,3,3队,Kids.724,司马懿,野,7,22,lose,no,3,6,2,4.4,17.3,18.5
31,4,3队,Kids.吴老吉,庄周,辅,8,25,lose,no,0,3,5,4.7,10.6,21.7
32,4,3队,Kids.小红帽,甄姬,中,8,25,lose,no,3,5,4,6,26.7,15
33,4,3队,Go·力哥,花木兰,上,8,25,lose,yes,4,4,2,6.5,19,17.5
34,4,3队,Kids.财神,吕布,下,8,25,lose,yes,0,5,6,6.2,20.8,28.4
35,4,3队,Kids.弦,李元芳,野,8,25,lose,yes,1,8,3,4.3,22.9,17.4
36,4,2队,Kids.流年,周瑜,中,25,8,win,yes,6,1,10,11.4,25.3,11.3
37,4,2队,Kids.weiwei,白起,上,25,8,win,no,2,0,11,10.4,13.6,28.4
38,4,2队,Kids.hu,狄仁杰,下,25,8,win,no,6,1,7,9.8,31.9,12.8
39,4,2队,Kids.超,司马懿,野,25,8,win,no,7,3,14,9.2,18.4,19.1
40,4,2队,Kids.小黑,牛魔,辅,25,8,win,no,4,3,10,8.6,10.8,28.4
41,5,3队,Kids.吴老吉,杨戬,野,18,6,win,no,6,1,2,9.1,23.5,20.8
42,5,3队,Kids.小红帽,虞姬,下,18,6,win,no,5,1,4,9.4,34,9.7
43,5,3队,Go·力哥,夏侯惇,上,18,6,win,no,0,1,7,7.1,10.7,28.4
44,5,3队,Kids.财神,张飞,辅,18,6,win,no,5,2,5,8.8,13.1,30.7
45,5,3队,Kids.弦,甄姬,中,18,6,win,yes,2,1,9,9.7,18.7,10.4
46,5,2队,Kids.小黑,周瑜,中,6,18,lose,yes,1,2,4,6.3,27.5,15.6
47,5,2队,Kids.hu,后羿,下,6,18,lose,no,1,3,2,5.7,35.8,10.1
48,5,2队,Kids.超,赵云,野,6,18,lose,no,4,4,1,5.4,17.3,21.6
49,5,2队,Kids.悠悠,程咬金,上,6,18,lose,no,0,5,2,3.9,9.2,30.9
50,5,2队,Kids.weiwei,东皇,辅,6,18,lose,no,0,4,1,2.7,10.2,21.7
51,6,1队,Kids.嬴荡,安琪拉,中,42,36,win,yes,10,4,18,11.8,19.8,13.7
52,6,1队,Kids.半剑,牛魔,辅,42,36,win,no,1,7,25,8.7,9,26.6
53,6,1队,Kids.剑来,典韦,上,42,36,win,no,6,7,15,7.9,15.3,20.3
54,6,1队,Kids.1次就好,孙尚香,下,42,36,win,no,8,8,11,7.5,20.8,17.2
